x,y,z
577.52,808.78,695.62
834.97,851.46,161.87
35.72,757.15,943.43
888.82,487.41,120.45
637.29,336.36,750.3
799.68,605.96,258.74
160.63,707.75,120.72
659.78,30.51,511.96
452.43,66.43,35.23
452.32,654.33,595.33
733.0,748.7,961.76
542.38,413.21,979.7
913.38,181.24,326.35
867.63,299.58,13.27
101.47,274.84,602.01
188.14,61.01,648.81
901.07,78.9,925.4
174.4,467.61,658.55
706.33,732.52,458.78
482.89,507.99,668.26
105.36,106.67,702.12
104.42,964.68,78.72
138.07,227.88,168.38
129.33,492.39,60.78
194.14,137.56,756.16
850.82,386.79,390.32
317.1,152.59,0.23
564.11,153.79,653.04
823.72,596.6,946.72
165.41,575.84,88.65
125.83,263.54,520.33
285.95,386.2,914.08
743.74,716.94,139.49
390.17,26.51,142.14
736.96,394.93,286.61
61.54,193.4,966.91
910.58,101.63,765.87
312.43,357.59,1.11
549.62,73.54,591.1
509.1,379.45,530.84
553.07,369.69,318.7
505.98,124.26,195.85
840.74,36.32,441.2
655.16,850.08,503.42
601.29,63.57,396.11
15.03,298.7,544.47
78.86,868.89,698.34
76.19,815.63,433.34
125.64,172.69,713.03
718.68,930.16,989.21
27.8,744.55,73.87
830.66,850.75,796.4
623.9,32.58,662.51
505.04,161.16,745.52
640.96,206.02,935.15
746.78,718.73,194.43
619.33,102.68,813.12
241.36,782.07,625.65
880.88,702.3,498.38
259.17,958.17,582.41
646.59,32.22,982.41
481.83,905.65,13.61
562.72,177.52,945.87
494.24,787.68,742.48
458.09,864.7,372.73
306.14,765.28,221.0
78.26,497.97,742.19
763.83,373.79,969.61
160.29,699.69,563.8
955.35,203.16,142.55
642.74,985.97,680.12
957.97,796.84,282.45
938.41,210.38,137.22
25.33,161.04,99.42
56.79,927.91,250.23
210.08,387.19,965.94
57.3,62.89,392.45
359.07,342.44,974.23
827.73,71.77,111.3
917.92,733.13,493.87
227.82,192.72,280.56
711.42,908.83,268.76
805.4,562.31,950.0
523.75,967.8,769.56
933.08,648.17,873.41
742.42,187.68,56.77
423.95,571.26,908.97
842.35,509.12,281.35
123.73,133.57,327.96
463.15,191.95,576.14
136.92,846.75,459.35
281.77,543.31,131.24
398.72,204.17,333.65
289.41,756.78,948.27
824.71,394.56,866.64
282.44,817.35,251.32
608.87,429.71,41.89
620.99,387.29,398.95
